Name,,Header,ModeAndPID,ShortName,Name,Equation,Min Value,Max Value,Units,,startDiagnostic,stopDiagnostic,Scale,
LVB State of Charge,,#N/A,0x2299ab,ACCC,A/C Compressor Current,((signed(A)*256)+B)/327.67,-100,100,Amps,,,,1,
HVB Current High Range,,#N/A,0x224806,CVN,Contactor Voltage Negative,((((A*256)+B)*(1/1)+0)/10),0,300,Volts,,,,1,0
HV DC Charger Maximum Current,,#N/A,0x224805,CVP,Contactor Voltage Positive,((((A*256)+B)*(1/1)+0)/10),0,300,Volts,,,,1,0
Secondary Motor Coil Temperature,,#N/A,0x2248df,HvbCHOp,Coolant Heater Op Mode,LOOKUP(A:A:0='Off':1='On':2='Dgrd':3='Shut':4='Shrt':5='NRes':6='?':7='Stop'),0,7,,,,,1,
Secondary Motor Inverter Temperature,,#N/A,0x2248de,HvbCHP,Coolant Heater Power,INT16(A:B)Ã—.001,0,2000,kW,,,,1,
Primary Motor Inverter Voltage,,#N/A,0x22f41f,RunTmE,Engine Run Time,(((A*256)+B)/60,0,1000,Minutes,,,,1,
HVB Current,,7E2,0x224851,EvseC,EVSE Charging,(A==6)||(A==8),0,1,State,,,,1,
LVB Age,,7E2,0x2248b7,EvseD,EVSE Digital Mode,LOOKUP(A:A:0='None':1='DCE-':2='DC-P':3='DCEP':4='ACE-':5='AC-P':6='ACEP':7='Rst':8='Off':9='Est':10='FAIL'),0,10,State,,,,1,
HV AC Charger Coupler Temperature,,7E2,0x224851,EvseT,EVSE Type,LOOKUP(A:A:0='None':1='Lvl1':2='Lvl2':3='DC':4='Bas':5='HL':6='BasAC':7='HLAC':8='HLDC':10='NCom':11='FAULT':12='HEnd'),0,12,State,,,,1,
HV DC Charger Coupler Temperature 1,,#N/A,0x221e12,GCM,Gear Commanded,LOOKUP(A:A:255='Fault':70='P':60='R':50='N':40='D':20='L':0='?'),0,255,State,,,,1,
HV DC Charger Coupler Temperature 3,,#N/A,0x220580,GrillSP,Grill Shutter Position,A/2.55,0,100,%,,,,1,
HVB State of Health,,7E2,0x224888,ChgACT,HV AC Charger Coupler Temperature,(A-40)*1.8+32,-40,400,F,,,,1,
Grill Shutter Position,,7E2,0x22485f,ACInA,HV AC Charger Input Current,A,0,100,Amps,,,,1,
HV Charger Output Reduction Temperature,,7E2,0x224860,ACInF,HV AC Charger Input Frequency,A*0.5,30,90,Hz,,,,1,
HV Charger Pilot Duty Cycle,,7E2,0x22485e,ACInV,HV AC Charger Input Voltage,INT16(A:B)*0.01,0,300,Volts,,,,1,
HV Current,,#N/A,0x2248fb,ChPLim,HV Charge Power Limit,INT16(A:B)*0.1,0,300,kW,,,,1,
HVB Temperature Range Average,,7E2,0x22484e,ChgPAv,HV Charger Input Power Available,INT16(A:B)*0.005,0,600,kW,,,,1,
Throttle Position (Desired),,7E2,0x2248c4,ChgMaxP,HV Charger Maximum Power,INT16(A:B)*0.05,0,500,kW,,,,1,
Outside Temperature,,#N/A,0x224850,ChgOA,HV Charger Output Current Measured,INT16(A:B)*0.01,0,600,Amps,,,,1,
Transmission Temp,,7E2,0x2248A5,ChgORT,HV Charger Output Reduction Temperature,A,0,100,%,,,,1,
HVB Temperature Range,,7E2,0x22484a,ChgOV,HV Charger Output Voltage,INT16(A:B)*0.01,0,600,Volts,,,,1,
Main ECU Voltage Supply,,7E2,0x224861,PilotDC,HV Charger Pilot Duty Cycle,A*0.5,0,100,%,,,,1,
HV DC Charger Maximum Voltage,,7E2,0x2248b6,PilotV,HV Charger Pilot Voltage,A*0.1,0,15,Volts,,,,1,
HVB Temperature Range Maximum,,#N/A,,ChgPwr,HV Charger Power Flow Calculated,val{HV Charger Output Current Measured}*val{HV Charger Output Voltage}*0.001,-200,200,kW,,,,1,
HVB Average Module Voltage,,7E2,0x224862,ProxSt,HV Charger Proximity Status,LOOKUP(A:A:0='Off':1='OnS3':2='On':3='10A'':4='13A'':5='16A':'6='20A'':7='FAULT'':8='32A'':9='63A':16='DC'':17='Open'':18='Short':19='Short':20='RANGE':21='Open'),0,18,,,,,1,
HVB Charge Voltage Requested,,7E2,0x2248a0,ProxV,HV Charger Proximity Voltage,A*0.02,0,15,Volts,,,,1,
